run_id,cell_id,cell_index,phase,dataset,fold_or_split,method_id,implementation_id,method_role,evaluation_model,candidate_universe_count,candidate_universe_hash,selected_feature_count,budget_semantics,requested_budget,natural_support,feasibility_state,seed,prediction_sha256,prediction_row_identity_sha256,identity_target_sha256,metric_artifact_sha256,configuration_lock_sha256,auc,gini,ks,lift_at_10,runtime_seconds,peak_process_rss_gib,minimum_available_ram_gib,ram_wait_seconds,warnings,terminal_state,fold,model,selected_features,selection_seconds,model_fit_seconds
fbv1-001-homecredit-lr-full-features-s42,fbv1-001-homecredit-lr-full-features-s42,1,dev_expanding_window_fold,homecredit,1,full_features,full_candidate_features_v1,control,lr,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,,,,e61783f1267e84b56b267975da2b77be1cf21d03373c8b2d4ef6902e412dc786,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7171027541066364,0.4342055082132727,0.3422718953823177,2.9474485910129475,17.74598717689514,9.027095794677734,18.385860443115234,0.0,fold predictions not persisted; stored metrics cannot be prediction-recomputed,completed,1.0,lr,529.0,0.468336820602417,14.525541543960571
fbv1-001-homecredit-lr-full-features-s42,fbv1-001-homecredit-lr-full-features-s42,1,dev_expanding_window_fold,homecredit,2,full_features,full_candidate_features_v1,control,lr,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,,,,e61783f1267e84b56b267975da2b77be1cf21d03373c8b2d4ef6902e412dc786,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7426420164745234,0.4852840329490469,0.3667399037098036,3.108938025537216,74.61307573318481,9.027095794677734,18.385860443115234,0.0,fold predictions not persisted; stored metrics cannot be prediction-recomputed,completed,2.0,lr,529.0,0.7703077793121338,70.36115956306458
fbv1-001-homecredit-lr-full-features-s42,fbv1-001-homecredit-lr-full-features-s42,1,dev_expanding_window_fold,homecredit,3,full_features,full_candidate_features_v1,control,lr,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,,,,e61783f1267e84b56b267975da2b77be1cf21d03373c8b2d4ef6902e412dc786,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7650797844180052,0.5301595688360103,0.4050514056755388,3.347369490148284,87.0779333114624,9.027095794677734,18.385860443115234,0.0,fold predictions not persisted; stored metrics cannot be prediction-recomputed,completed,3.0,lr,529.0,1.0407230854034424,81.89052438735962
fbv1-001-homecredit-lr-full-features-s42,fbv1-001-homecredit-lr-full-features-s42,1,dev_expanding_window_fold,homecredit,4,full_features,full_candidate_features_v1,control,lr,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,,,,e61783f1267e84b56b267975da2b77be1cf21d03373c8b2d4ef6902e412dc786,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7603104193493291,0.5206208386986582,0.4024196345303525,3.2985737943301605,219.5257863998413,9.027095794677734,18.385860443115234,0.0,fold predictions not persisted; stored metrics cannot be prediction-recomputed,completed,4.0,lr,529.0,1.319854974746704,213.33861112594604
fbv1-001-homecredit-lr-full-features-s42,fbv1-001-homecredit-lr-full-features-s42,1,dev_expanding_window_fold,homecredit,5,full_features,full_candidate_features_v1,control,lr,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,,,,e61783f1267e84b56b267975da2b77be1cf21d03373c8b2d4ef6902e412dc786,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7607132161350841,0.5214264322701683,0.3872680086802112,3.2445283502134643,290.88806653022766,9.027095794677734,18.385860443115234,0.0,fold predictions not persisted; stored metrics cannot be prediction-recomputed,completed,5.0,lr,529.0,2.504602670669556,280.1087086200714
fbv1-001-homecredit-lr-full-features-s42,fbv1-001-homecredit-lr-full-features-s42,1,full_dev_refit_diagnostic,homecredit,full_dev_in_sample,full_features,full_candidate_features_v1,control,lr,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,87e188cb6f338462af24f95177d1aea3c5adc754743bdb9e457579e8e6bd176e,6b3eaa2e6925ae4386ef9e17c99b444cdc414c9102fbd98d6635c41f777aa3c2,1f68b49d4420e943a3833cb62b917c5e1093562281807d9047a11ffc2626aebc,e61783f1267e84b56b267975da2b77be1cf21d03373c8b2d4ef6902e412dc786,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7874334424648313,0.5748668849296625,0.43291463927691504,3.605765645742334,,9.027095794677734,18.385860443115234,0.0,,completed,,,,,
fbv1-001-homecredit-lr-full-features-s42,fbv1-001-homecredit-lr-full-features-s42,1,oot,homecredit,locked_oot,full_features,full_candidate_features_v1,control,lr,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,4abf2d809d8ba1e2338c47c1035a481a63a020f6d1dee7b4305f9b228bd13739,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,e61783f1267e84b56b267975da2b77be1cf21d03373c8b2d4ef6902e412dc786,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7714957527511155,0.542991505502231,0.41357459867673785,3.3811651278901467,,9.027095794677734,18.385860443115234,0.0,,completed,,,,,
fbv1-002-homecredit-catboost-full-features-s42,fbv1-002-homecredit-catboost-full-features-s42,2,dev_expanding_window_fold,homecredit,1,full_features,full_candidate_features_v1,control,catboost,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,,,,a6227667ec1c02a3a72e5be13fd05db14c437d1e99d1c5bc7b4f8b63e5474d0d,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7578637933292209,0.5157275866584419,0.3922935692923232,3.335872048743336,109.74813675880432,10.453445434570312,14.970687866210938,0.0,fold predictions not persisted; stored metrics cannot be prediction-recomputed,completed,1.0,catboost,529.0,0.4767632484436035,106.43385100364684
fbv1-002-homecredit-catboost-full-features-s42,fbv1-002-homecredit-catboost-full-features-s42,2,dev_expanding_window_fold,homecredit,2,full_features,full_candidate_features_v1,control,catboost,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,,,,a6227667ec1c02a3a72e5be13fd05db14c437d1e99d1c5bc7b4f8b63e5474d0d,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7636647889981998,0.5273295779963996,0.4019146067817379,3.4489781220803484,190.43900513648987,10.453445434570312,14.970687866210938,0.0,fold predictions not persisted; stored metrics cannot be prediction-recomputed,completed,2.0,catboost,529.0,0.7864043712615967,186.14353203773496
fbv1-002-homecredit-catboost-full-features-s42,fbv1-002-homecredit-catboost-full-features-s42,2,dev_expanding_window_fold,homecredit,3,full_features,full_candidate_features_v1,control,catboost,529,unsupported_not_persisted_by_prompt_10,529,full_universe,,False,completed,42,,,,a6227667ec1c02a3a72e5be13fd05db14c437d1e99d1c5bc7b4f8b63e5474d0d,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7801128649949731,0.5602257299899462,0.4285571186403364,3.7677737152143007,276.6872797012329,10.453445434570312,14.970687866210938,0.0,fold predictions not persisted; stored metrics cannot be prediction-recomputed,completed,3.0,catboost,529.0,1.0951507091522217,271.32741022109985
