combination_id,dataset,evaluation_model,fold,final_budget,saved_boruta_selected_count,feasibility_state,authentic_natural_support_count_available,reusable_component_artifact,reuse_reason,required_new_stage_fits,forecast_peak_rss_gib_lower_bound,forecast_active_seconds_lower_bound,predictive_outcome_used
boruta_then_rfe_catboost,homecredit,lr,1,20,20.0,requires_new_natural_support_fit,False,False,baseline Boruta was budget-specific and lacks complete natural-support provenance,boruta_natural_support+stage_2_if_feasible,7.9321136474609375,1634.0049351000052,False
boruta_then_mrmr_mutual_information,homecredit,lr,1,20,20.0,requires_new_natural_support_fit,False,False,baseline Boruta was budget-specific and lacks complete natural-support provenance,boruta_natural_support+stage_2_if_feasible,7.9321136474609375,1634.0049351000052,False
boruta_then_rfe_catboost,homecredit,lr,2,20,20.0,requires_new_natural_support_fit,False,False,baseline Boruta was budget-specific and lacks complete natural-support provenance,boruta_natural_support+stage_2_if_feasible,7.9321136474609375,1634.0049351000052,False
boruta_then_mrmr_mutual_information,homecredit,lr,2,20,20.0,requires_new_natural_support_fit,False,False,baseline Boruta was budget-specific and lacks complete natural-support provenance,boruta_natural_support+stage_2_if_feasible,7.9321136474609375,1634.0049351000052,False
boruta_then_rfe_catboost,homecredit,lr,3,20,20.0,requires_new_natural_support_fit,False,False,baseline Boruta was budget-specific and lacks complete natural-support provenance,boruta_natural_support+stage_2_if_feasible,7.9321136474609375,1634.0049351000052,False
boruta_then_mrmr_mutual_information,homecredit,lr,3,20,20.0,requires_new_natural_support_fit,False,False,baseline Boruta was budget-specific and lacks complete natural-support provenance,boruta_natural_support+stage_2_if_feasible,7.9321136474609375,1634.0049351000052,False
boruta_then_rfe_catboost,homecredit,lr,4,20,20.0,requires_new_natural_support_fit,False,False,baseline Boruta was budget-specific and lacks complete natural-support provenance,boruta_natural_support+stage_2_if_feasible,7.9321136474609375,1634.0049351000052,False
boruta_then_mrmr_mutual_information,homecredit,lr,4,20,20.0,requires_new_natural_support_fit,False,False,baseline Boruta was budget-specific and lacks complete natural-support provenance,boruta_natural_support+stage_2_if_feasible,7.9321136474609375,1634.0049351000052,False
boruta_then_rfe_catboost,homecredit,lr,5,20,20.0,requires_new_natural_support_fit,False,False,baseline Boruta was budget-specific and lacks complete natural-support provenance,boruta_natural_support+stage_2_if_feasible,7.9321136474609375,1634.0049351000052,False
boruta_then_mrmr_mutual_information,homecredit,lr,5,20,20.0,requires_new_natural_support_fit,False,False,baseline Boruta was budget-specific and lacks complete natural-support provenance,boruta_natural_support+stage_2_if_feasible,7.9321136474609375,1634.0049351000052,False
