run_id,dataset,method,model,seed,split,feature_budget,configuration_hash,data_manifest_hash,metric_artifact_path,prediction_artifact_path,selected_feature_path,checkpoint_path,manifest_path,pairing_policy_version,depends_on_clip,reuse_status,reason,source_training_dataset,external_dataset,source_preprocessor_hash,source_raw_dev_statistical_evidence_hash,source_checkpoint_hashes,source_anchor_hashes
catboost_hybrid_llm_then_boruta_159b47a7bfa0,homecredit,llm_then_boruta,catboost,42,"DEV[-600,-240);OOT[-240,0]",40.0,159b47a7bfa0f92fd84649568b4055d6a88d8935bfe11e84e653c4da52d160c4,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/results/experiment_summary.csv,results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/results/oot_predictions.csv,results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/features/final_selected_features.csv,,results/homecredit/catboost/hybrid_boruta/catboost_hybrid_llm_then_boruta_159b47a7bfa0/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
catboost_hybrid_llm_then_mrmr_87fbcccf4952,homecredit,llm_then_mrmr,catboost,42,"DEV[-600,-240);OOT[-240,0]",40.0,87fbcccf49526385ab46b5bc86f43e72e353707cd61878184aedd017fb072391,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/results/experiment_summary.csv,results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/results/oot_predictions.csv,results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/features/final_selected_features.csv,,results/homecredit/catboost/hybrid_mrmr/catboost_hybrid_llm_then_mrmr_87fbcccf4952/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
catboost_hybrid_stable_core_llm_fill_8993eae5a4f7,homecredit,stable_core_llm_fill,catboost,42,"DEV[-600,-240);OOT[-240,0]",40.0,8993eae5a4f774e50b5e4f87b3ae89e70cd0fccf03c35f762b97c4b1bdd311c0,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/results/experiment_summary.csv,results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/results/oot_predictions.csv,results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/features/final_selected_features.csv,,results/homecredit/catboost/hybrid_stable_core_llm_fill/catboost_hybrid_stable_core_llm_fill_8993eae5a4f7/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
catboost_llm_llm_d54c966a1d6e,homecredit,llm,catboost,42,"DEV[-600,-240);OOT[-240,0]",40.0,d54c966a1d6ead63d3e624aa304cf0b9f3933d2947a29a14f00c7c432c4037ca,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/results/experiment_summary.csv,results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/results/oot_predictions.csv,results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/features/final_selected_features.csv,,results/homecredit/catboost/llm/catboost_llm_llm_d54c966a1d6e/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
catboost_statistical_boruta_486630bccdb9,homecredit,boruta,catboost,42,"DEV[-600,-240);OOT[-240,0]",40.0,486630bccdb90719e3f9690eb29652b28426a6708757d8202714d992355b9ed6,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/catboost/statistical/catboost_statistical_boruta_486630bccdb9/results/experiment_summary.csv,results/homecredit/catboost/statistical/catboost_statistical_boruta_486630bccdb9/results/oot_predictions.csv,results/homecredit/catboost/statistical/catboost_statistical_boruta_486630bccdb9/features/final_selected_features.csv,,results/homecredit/catboost/statistical/catboost_statistical_boruta_486630bccdb9/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
catboost_statistical_domain_rule_baseline_b0a57bf51d1f,homecredit,domain_rule_baseline,catboost,42,"DEV[-600,-240);OOT[-240,0]",40.0,b0a57bf51d1fcfa5ecbff8eae48a729646a409915def73d19b7312207368fb79,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/catboost/statistical/catboost_statistical_domain_rule_baseline_b0a57bf51d1f/results/experiment_summary.csv,results/homecredit/catboost/statistical/catboost_statistical_domain_rule_baseline_b0a57bf51d1f/results/oot_predictions.csv,results/homecredit/catboost/statistical/catboost_statistical_domain_rule_baseline_b0a57bf51d1f/features/final_selected_features.csv,,results/homecredit/catboost/statistical/catboost_statistical_domain_rule_baseline_b0a57bf51d1f/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
catboost_statistical_mrmr_3858b721e537,homecredit,mrmr,catboost,42,"DEV[-600,-240);OOT[-240,0]",40.0,3858b721e537decf980acf5cfc211b97a10563b6cb186f5ee59c509917ddf875,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/catboost/statistical/catboost_statistical_mrmr_3858b721e537/results/experiment_summary.csv,results/homecredit/catboost/statistical/catboost_statistical_mrmr_3858b721e537/results/oot_predictions.csv,results/homecredit/catboost/statistical/catboost_statistical_mrmr_3858b721e537/features/final_selected_features.csv,,results/homecredit/catboost/statistical/catboost_statistical_mrmr_3858b721e537/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
catboost_statistical_pca_26fcebfff558,homecredit,pca,catboost,42,"DEV[-600,-240);OOT[-240,0]",40.0,26fcebfff558dbf3b879a5cc91de1a371e31d6a0da0d66fe8ce9c262baf00e95,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/catboost/statistical/catboost_statistical_pca_26fcebfff558/results/experiment_summary.csv,results/homecredit/catboost/statistical/catboost_statistical_pca_26fcebfff558/results/oot_predictions.csv,results/homecredit/catboost/statistical/catboost_statistical_pca_26fcebfff558/features/final_selected_features.csv,,results/homecredit/catboost/statistical/catboost_statistical_pca_26fcebfff558/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
lr_hybrid_llm_then_boruta_9ceedb78b89f,homecredit,llm_then_boruta,lr,42,"DEV[-600,-240);OOT[-240,0]",20.0,9ceedb78b89f2942d3b9ac66462a9044a8fda9700b2a83b22576e807d072e216,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_9ceedb78b89f/results/experiment_summary.csv,results/homecredit/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_9ceedb78b89f/results/oot_predictions.csv,results/homecredit/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_9ceedb78b89f/features/final_selected_features.csv,,results/homecredit/lr/hybrid_boruta/lr_hybrid_llm_then_boruta_9ceedb78b89f/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
lr_hybrid_llm_then_mrmr_f69e1a0cffc2,homecredit,llm_then_mrmr,lr,42,"DEV[-600,-240);OOT[-240,0]",20.0,f69e1a0cffc2f613a5514012440d14e2308ca5059f576f5d29e1fca23b7fc9d6,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/results/experiment_summary.csv,results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/results/oot_predictions.csv,results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/features/final_selected_features.csv,,results/homecredit/lr/hybrid_mrmr/lr_hybrid_llm_then_mrmr_f69e1a0cffc2/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
lr_hybrid_stable_core_llm_fill_1ddd0142e614,homecredit,stable_core_llm_fill,lr,42,"DEV[-600,-240);OOT[-240,0]",20.0,1ddd0142e6145839636afc9d04f27697d4d7f39c81ee44258b23a64d91b2e5ae,68b2bae09659a0b14dcfdef824ad40d31a16f5731497846efdac29beda037345,results/homecredit/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_1ddd0142e614/results/experiment_summary.csv,results/homecredit/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_1ddd0142e614/results/oot_predictions.csv,results/homecredit/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_1ddd0142e614/features/final_selected_features.csv,,results/homecredit/lr/hybrid_stable_core_llm_fill/lr_hybrid_stable_core_llm_fill_1ddd0142e614/run_manifest.json,not_applicable_non_clip,False,reusable_existing,"Completed non-CLIP run; manifest, _SUCCESS marker, metrics, split, predictions, and selected features are present. No checkpoint is recorded because this run stores a final fitted model rather than a CLIP checkpoint.",,,,,,
